id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1479103888351391747,1479103888351391747,2022-01-06 11:53:42 Hora Padrão de Buenos Aires,2022-01-06,11:53:42,-0300,1083774484123975680,damaresalves,Damares Alves,,Ministério da Saúde lança Cuida Mais Brasil para fortalecer atendimento materno-infantil no SUS. Agora  o número de equipes com médico pediatra pode chegar a mais de 8 mil e 7 mil com ginecologistas-obstetras em todo país. É EXTRAORDINÁRIO!  Saiba mais:   https://t.co/1C0l1egWqW,pt,[],['https://aps.saude.gov.br/noticia/15396'],[],10,40,302,[],[],https://twitter.com/DamaresAlves/status/1479103888351391747,False,,0,,,,,,,,[],,,,
1478747766042017800,1478747766042017800,2022-01-05 12:18:35 Hora Padrão de Buenos Aires,2022-01-05,12:18:35,-0300,1083774484123975680,damaresalves,Damares Alves,,É hora de participar. Bora?,pt,[],[],[],23,117,563,[],[],https://twitter.com/DamaresAlves/status/1478747766042017800,False,https://twitter.com/mdhbrasil/status/1478732773326311428,0,,,,,,,,[],,,,
1478001817967632388,1478001817967632388,2022-01-03 10:54:28 Hora Padrão de Buenos Aires,2022-01-03,10:54:28,-0300,1083774484123975680,damaresalves,Damares Alves,,"Estamos em oração, presidente. Onde tem oração tem vitória.",pt,[],[],[],410,542,5901,[],[],https://twitter.com/DamaresAlves/status/1478001817967632388,False,https://twitter.com/jairbolsonaro/status/1477979938896715780,0,,,,,,,,[],,,,
1477996527272476672,1477996527272476672,2022-01-03 10:33:26 Hora Padrão de Buenos Aires,2022-01-03,10:33:26,-0300,1083774484123975680,damaresalves,Damares Alves,,"Nosso time embarcando para Ilhéus/BA, na comitiva dos ministros ⁦@mqueiroga2⁩ e ⁦@joaoromaneto⁩. O governo ⁦@jairbolsonaro⁩ continua com o trabalho de socorro ao nosso povo.  https://t.co/cA0QCsCSPu",pt,"[{'screen_name': 'mqueiroga2', 'name': 'marcelo queiroga', 'id': '2823869072'}, {'screen_name': 'joaoromaneto', 'name': 'joão roma', 'id': '84141432'}, {'screen_name': 'jairbolsonaro', 'name': 'jair m. bolsonaro', 'id': '128372940'}]",[],[],136,797,4416,[],[],https://twitter.com/DamaresAlves/status/1477996527272476672,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1477996474885722123/pu/img/Gmw217zCuWy1ukJj.jpg,,,,,,,[],,,,
1476689243984572425,1476689243984572425,2021-12-30 19:58:45 Hora Padrão de Buenos Aires,2021-12-30,19:58:45,-0300,1083774484123975680,damaresalves,Damares Alves,,Quando pessoas como o @DeputadoBacelar zombam da história do pé-de-goiaba não atacam somente a mim. Atacam a milhões de crianças abusadas que encontraram refúgio no colo do Senhor. Atacam milhões que creem no Deus Vivo e na salvação pela fé. Atacam a todos os cristãos.,pt,"[{'screen_name': 'deputadobacelar', 'name': 'bacelar', 'id': '52364013'}]",[],[],144,449,2569,[],[],https://twitter.com/DamaresAlves/status/1476689243984572425,False,https://twitter.com/folha/status/1476628701181796352,0,,,,,,,,[],,,,
1476523915505717252,1476523915505717252,2021-12-30 09:01:48 Hora Padrão de Buenos Aires,2021-12-30,09:01:48,-0300,1083774484123975680,damaresalves,Damares Alves,,Compartilhem.,pt,[],[],[],41,339,1051,[],[],https://twitter.com/DamaresAlves/status/1476523915505717252,False,https://twitter.com/mdhbrasil/status/1476312074607280134,0,,,,,,,,[],,,,
1476400285962620933,1476400285962620933,2021-12-30 00:50:33 Hora Padrão de Buenos Aires,2021-12-30,00:50:33,-0300,1083774484123975680,damaresalves,Damares Alves,,Obedecendo ordens do Presidente os Ministérios por meio de portarias ou da  constituição de  grupos e frentes de trabalho priorizam o  atendimento às cidades e  regiões atingidas pelas fortes chuva. Conheça a Portaria da Advocacia Geral da União  https://t.co/OR1z8DC52J  https://t.co/ClL5sN6ZjJ,pt,[],['https://www.in.gov.br/web/dou/-/portaria-normativa-agu-n-39-de-28-de-dezembro-de-2021-370547119'],['https://pbs.twimg.com/media/FH06OVPWYAIhppc.jpg'],94,618,2466,[],[],https://twitter.com/DamaresAlves/status/1476400285962620933,False,,1,https://pbs.twimg.com/media/FH06OVPWYAIhppc.jpg,,,,,,,[],,,,
1476336532441157633,1476336532441157633,2021-12-29 20:37:12 Hora Padrão de Buenos Aires,2021-12-29,20:37:12,-0300,1083774484123975680,damaresalves,Damares Alves,,"Fizemos muito, mas em 2022 terá muito mais. Acompanhe tudo sobre nossa atuação em defesa dos #direitoshumanosparstodos nas páginas oficiais do @mdhbrasil.  https://t.co/Bwp4XF7x46",pt,"[{'screen_name': 'mdhbrasil', 'name': 'mulher, família e direitos humanos', 'id': '312061934'}]",[],[],38,150,815,['direitoshumanosparstodos'],[],https://twitter.com/DamaresAlves/status/1476336532441157633,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1476336278463471620/pu/img/t9WdZraOjwlMn5p3.jpg,,,,,,,[],,,,
1475934754117672966,1475934754117672966,2021-12-28 18:00:41 Hora Padrão de Buenos Aires,2021-12-28,18:00:41,-0300,1083774484123975680,damaresalves,Damares Alves,,🇧🇷🇧🇷🇧🇷 O Governo federal está atento a situação difícil que o estado da Bahia está enfrentando.   Todos os ministérios estão atuando fortemente para amenizar a situação e garantir os direitos humanos e a dignidade das pessoas que estão sofrendo com essa tragédia.  COMPARTILHEM!  https://t.co/bN68egXAGo,pt,[],[],[],360,688,2672,[],[],https://twitter.com/DamaresAlves/status/1475934754117672966,False,,1,https://pbs.twimg.com/amplify_video_thumb/1475934212670861318/img/cBZM5cAkbgIzAHgX.jpg,,,,,,,[],,,,
1475830171362119693,1475830171362119693,2021-12-28 11:05:07 Hora Padrão de Buenos Aires,2021-12-28,11:05:07,-0300,1083774484123975680,damaresalves,Damares Alves,,Estamos cuidando do nosso povo.  https://t.co/nijih5bFKt,pt,[],['https://www.bnews.com.br/noticias/cidades/direto-de-ilheus-damares-diz-que-governo-federal-esta-trabalhando-24-horas-pelas-vitimas-das-chuvas.html'],[],123,483,2818,[],[],https://twitter.com/DamaresAlves/status/1475830171362119693,False,,0,,,,,,,,[],,,,
1475796075697029120,1475796075697029120,2021-12-28 08:49:38 Hora Padrão de Buenos Aires,2021-12-28,08:49:38,-0300,1083774484123975680,damaresalves,Damares Alves,,"A caminho de Ilhéus/BA na companhia dos ministros @rogeriosmarinho e @mqueiroga2, o secretário @Marceloscf2 e médicos do SUS para atendimento às famílias afetadas pelas enchentes. Ministro @joaoromaneto já está lá. Ordem do PR @jairbolsonaro é de não deixar ninguém para trás.",pt,"[{'screen_name': 'rogeriosmarinho', 'name': 'rogério marinho', 'id': '52189996'}, {'screen_name': 'mqueiroga2', 'name': 'marcelo queiroga', 'id': '2823869072'}, {'screen_name': 'marceloscf2', 'name': 'marcelo sampaio', 'id': '1079104732847853568'}, {'screen_name': 'joaoromaneto', 'name': 'joão roma', 'id': '84141432'}, {'screen_name': 'jairbolsonaro', 'name': 'jair m. bolsonaro', 'id': '128372940'}]",[],[],235,984,5120,[],[],https://twitter.com/DamaresAlves/status/1475796075697029120,False,,0,,,,,,,,[],,,,
1475610006150070274,1475610006150070274,2021-12-27 20:30:15 Hora Padrão de Buenos Aires,2021-12-27,20:30:15,-0300,1083774484123975680,damaresalves,Damares Alves,,Obrigada Forças Armadas!  Obgrigada Defesa Civil.  Todo Governo Federal trabalhando para ajudar nosso povo da Bahia  https://t.co/OMoq9ZnTdZ,pt,[],[],[],106,604,2814,[],[],https://twitter.com/DamaresAlves/status/1475610006150070274,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1475609204568252420/pu/img/7fZxoHgXaIR55KFG.jpg,,,,,,,[],,,,
1475608214809067525,1475608112656748544,2021-12-27 20:23:08 Hora Padrão de Buenos Aires,2021-12-27,20:23:08,-0300,1083774484123975680,damaresalves,Damares Alves,, https://t.co/F5JEoUut8X,und,[],[],"['https://pbs.twimg.com/media/FHppxDvXoAEN3Sg.jpg', 'https://pbs.twimg.com/media/FHppz0ZX0AMVSoQ.jpg']",9,58,496,[],[],https://twitter.com/DamaresAlves/status/1475608214809067525,False,,1,https://pbs.twimg.com/media/FHppxDvXoAEN3Sg.jpg,,,,,,,[],,,,
1475608112656748544,1475608112656748544,2021-12-27 20:22:44 Hora Padrão de Buenos Aires,2021-12-27,20:22:44,-0300,1083774484123975680,damaresalves,Damares Alves,, https://t.co/kM8TpzfyTL,und,[],[],['https://pbs.twimg.com/media/FHppThYXoAIioDy.jpg'],56,220,1741,[],[],https://twitter.com/DamaresAlves/status/1475608112656748544,False,,1,https://pbs.twimg.com/media/FHppThYXoAIioDy.jpg,,,,,,,[],,,,
1475578687315656716,1475578687315656716,2021-12-27 18:25:48 Hora Padrão de Buenos Aires,2021-12-27,18:25:48,-0300,1083774484123975680,damaresalves,Damares Alves,,OUTRA REUNIÃO S O S BAHIA  As 15 horas direto da Secretaria da Criança conduzimos uma reunião com os gestores municipais da área afetada.lwls fortes chuvas na BAHIA.  Seguimos agora para a próxima reunião com todos os ministérios.  Dias de muita tristeza!  https://t.co/1ytd4Mvl46,pt,[],[],[],37,177,780,[],[],https://twitter.com/DamaresAlves/status/1475578687315656716,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1475578620773081091/pu/img/nM-VYQtGottiBON9.jpg,,,,,,,[],,,,
1475577912510324745,1475577912510324745,2021-12-27 18:22:43 Hora Padrão de Buenos Aires,2021-12-27,18:22:43,-0300,1083774484123975680,damaresalves,Damares Alves,,"S O S BAHIA. Além do Grupo com todos os Ministérios, temos nosso grupo de trabalho só com as secretarias e servidores do Ministério da Mulheres, da Família e dos Direitos Humanos. Passamos a manhã desta segunda em reunião de alinhamento sobre nossas ações na região.  https://t.co/Ppu6q8AzdJ",pt,[],[],['https://pbs.twimg.com/media/FHpOScnXoAM-uIr.jpg'],32,209,959,[],[],https://twitter.com/DamaresAlves/status/1475577912510324745,False,,1,https://pbs.twimg.com/media/FHpOScnXoAM-uIr.jpg,,,,,,,[],,,,
